short_name,Full_URL,Created
ayy3T,https://www.youtube.com/watch?v=q_CTKrXA6GM,12/18/2017
bAQww,https://www.datasciencecentral.com/profiles/blogs/how-do-you-measure-the-success-of-digital-transformation,12/18/2017
cNAeQ,https://www.youtube.com/watch?v=RcdwvjmQvJw,12/18/2017
d9pOh,https://dzone.com/articles/is-devops-agile?edition=334873&utm_source=Daily%20Digest&utm_medium=email&utm_campaign=Daily%20Digest%202017-11-14,12/18/2017
hBS51,https://www.brighttalk.com/webcast/13935/286479?utm_campaign=webcasts-search-results-feed&utm_content=oracle&utm_source=brighttalk-portal&utm_medium=web,12/18/2017
jCATB,https://resources.itwhitepapers.com/ccd/show/200051643/01571870187254ITH5N6GST27H7,12/18/2017
oCT0L,https://catalog.data.gov/dataset/federal-business-opportunities-data,12/19/2017
pCneq,https://dzone.com/storage/assets/6712275-dzone-2017guidetoproactivesecurity.pdf,12/18/2017
pWWvX,https://www.brighttalk.com/webcast/14319/270441?utm_campaign=channel-feed&utm_source=brighttalk-portal&utm_medium=web,12/18/2017
sN1h2,https://www.brighttalk.com/webcast/14319/253771?utm_campaign=webcasts-search-results-feed&utm_content=Cloud%20computing&utm_source=brighttalk-portal&utm_medium=web,12/18/2017
sOPXu,https://dzone.com/storage/assets/7210866-best-practices-in-release-and-deployment-managemen.pdf,12/18/2017
t1nUd,https://www.information-management.com/news/big-data-analytics-fueling-innovation-in-all-industries?utm_campaign=weekend-sep%209%202017&utm_medium=email&utm_source=newsletter&eid=9232dc3f0121aba8181bc73703342890,12/18/2017
ubsq1,http://www.oracle.com/technetwork/database/options/compression/overview/index.html,12/19/2017
umLqh,https://resources.itwhitepapers.com/ccd/show/200050516/01567840185541ITH64WQ4QL9M0,12/18/2017
vafJI,https://www.youtube.com/watch?v=CyBvkqUr42Y,12/18/2017
vi9WI,https://www.youtube.com/watch?v=EAj-2wEl0LY,12/18/2017
wrap,https://www.youtube.com/watch?v=OR07r0ZMFb8,12/23/2017
x3mhj,http://www.oracle.com/technetwork/database/options/compression/advanced-compression-wp-12c-1896128.pdf,12/17/2017
xAnuL,https://www.information-management.com/whitepaper/gartners-100-data-and-analytics-predictions-through-2021?utm_campaign=weekend-sep%209%202017&utm_medium=email&utm_source=newsletter&eid=9232dc3f0121aba8181bc73703342890,12/18/2017
xlNey,https://docs.oracle.com/cd/B28359_01/server.111/b32024/partition.htm,01/03/2018
yTg40,http://www.aderas.com,12/16/2017
